time,underlyingApy1DMA,underlyingApy7DMA,impliedApy,volume
Tue Feb 27 2024 04:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.0356,0.3937,429004.52705668984
Tue Feb 27 2024 05:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.031,0.393,355001.79435491917
Tue Feb 27 2024 06:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.031,0.3929,25452.857875706133
Tue Feb 27 2024 07:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.031,0.3935,438159.8307864852
Tue Feb 27 2024 08:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.031,0.3967,618918.3608201012
Tue Feb 27 2024 09:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.031,0.3965,190772.6362478574
Tue Feb 27 2024 10:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.031,0.3981,301447.6486895788
Tue Feb 27 2024 11:00:00 GMT+0000 (Greenwich Mean Time),0.0367,0.0356,0.3929,983580.6782083549
Tue Feb 27 2024 12:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3927,99626.73676824046
Tue Feb 27 2024 13:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3935,226022.1101818
Tue Feb 27 2024 14:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.397,682077.0209190551
Tue Feb 27 2024 15:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3984,291763.0258711986
Tue Feb 27 2024 16:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3826,3473219.310279397
Tue Feb 27 2024 17:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3865,1005328.1960475169
Tue Feb 27 2024 18:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3839,515711.91771346657
Tue Feb 27 2024 19:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3837,279768.8675035122
Tue Feb 27 2024 20:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3837,171422.39742602757
Tue Feb 27 2024 21:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3842,415360.5953141333
Tue Feb 27 2024 22:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3697,3792537.7962435163
Tue Feb 27 2024 23:00:00 GMT+0000 (Greenwich Mean Time),0.0301,0.0313,0.3733,1273578.955171313
Wed Feb 28 2024 00:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3723,1329590.5953700608
Wed Feb 28 2024 01:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3718,331425.14727522567
Wed Feb 28 2024 02:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3671,1056920.4629367453
Wed Feb 28 2024 03:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3662,514751.237809703
Wed Feb 28 2024 04:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3657,433146.123104629
Wed Feb 28 2024 05:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3671,459286.150027499
Wed Feb 28 2024 06:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3666,148135.78942526484
Wed Feb 28 2024 07:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3649,597851.3127714777
Wed Feb 28 2024 08:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3603,1148397.4897092495
Wed Feb 28 2024 09:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3617,746914.3461547877
Wed Feb 28 2024 10:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.364,522545.13883415045
Wed Feb 28 2024 11:00:00 GMT+0000 (Greenwich Mean Time),0.0249,0.0306,0.3618,428943.12691542757
Wed Feb 28 2024 12:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3619,68818.78921019637
Wed Feb 28 2024 13:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3622,545657.9273209823
Wed Feb 28 2024 14:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3799,4398543.621822607
Wed Feb 28 2024 15:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3779,605442.7548677493
Wed Feb 28 2024 16:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3777,508291.4533643868
Wed Feb 28 2024 17:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3772,248872.2893440321
Wed Feb 28 2024 18:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3739,634490.4234328931
Wed Feb 28 2024 19:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3733,354464.8973857241
Wed Feb 28 2024 20:00:00 GMT+0000 (Greenwich Mean Time),0.0387,0.0317,0.3739,258789.0502998801
