time,open,high,low,close,volume
2024-05-14,2563.9798,2637.9213,2512.9098,2632.4726,43351.4751
2024-05-15,2625.3286,2771.8396,2612.2412,2771.8396,90276.0664
2024-05-16,2764.8135,2774.5689,2678.3718,2691.429,48190.3954
2024-05-17,2698.4505,2883.98,2693.0039,2868.3469,229421.6399
2024-05-18,2869.3216,2916.3305,2869.0392,2883.0724,87823.3867
2024-05-19,2887.447,2898.4814,2829.818,2856.8344,1071.646
2024-05-20,2853.5348,3406.2049,2831.6208,3406.2049,53619.2264
2024-05-21,3380.6967,3523.302,3371.241,3509.8129,658157.0019
2024-05-22,3491.8856,3511.8941,3361.8466,3479.2622,244260.5043
2024-05-23,3476.1022,3657.8477,3408.0477,3493.1784,119370.5958
2024-05-24,3490.2433,3538.2587,3354.4841,3434.9615,223744.5417
2024-05-25,3429.2404,3472.8709,3415.781,3439.7777,7577.5191
2024-05-26,3451.68,3575.1654,3423.4492,3520.4543,474391.6252
2024-05-27,3527.2462,3679.3775,3527.2462,3604.6324,570.652
2024-05-28,3613.8985,3648.847,3529.5003,3610.9338,629631.114
2024-05-29,3593.135,3624.7707,3506.8781,3534.0709,31554.2674
2024-05-30,3523.0351,3563.0127,3467.6293,3500.7237,16810.0274
2024-05-31,3503.0918,3592.0005,3483.3151,3508.6106,119301.9046
2024-06-01,3521.5739,3571.2733,3518.7333,3571.2724,10173.5961
2024-06-02,3564.644,3582.3618,3511.7987,3535.8422,1148.6211
2024-06-03,3540.5324,3597.3322,3522.0601,3543.1249,344502.908
2024-06-04,3536.9507,3604.0464,3516.3116,3594.1818,273076.7221
2024-06-05,3588.6957,3647.1185,3562.6796,3624.7815,85995.298
2024-06-06,3642.7211,3649.1239,3572.1555,3605.2925,26129.7967
2024-06-07,3611.2524,3626.7202,3439.4112,3489.1929,0.0
2024-06-08,3477.6773,3512.6698,3475.5271,3494.7702,86053.1494
2024-06-09,3500.1728,3551.2661,3500.1728,3540.184,78694.1944
2024-06-10,3539.4259,3555.2399,3481.6846,3528.8065,125943.3079
2024-06-11,3522.9339,3522.9438,3283.9684,3349.7529,166337.6433
2024-06-12,3348.7262,3492.4484,3320.7266,3423.3113,792.0047
2024-06-13,3412.7364,3415.9934,3297.5055,3316.5701,0.0
2024-06-14,3319.7655,3373.9611,3231.4784,3338.0754,104778.1012
2024-06-15,3336.2232,3436.8618,3319.6128,3411.6495,138565.6255
2024-06-16,3409.2302,3493.085,3394.2788,3479.0642,77205.4984
2024-06-17,3468.7829,3468.9284,3354.7048,3368.7798,1044.4321
2024-06-18,3368.7833,3368.8073,3259.0588,3355.1014,40108.5774
2024-06-19,3354.9758,3447.9691,3344.2802,3407.9371,173085.4675
2024-06-20,3406.4044,3468.5503,3355.8946,3376.4767,101418.3983
2024-06-21,3373.5003,3397.8641,3323.6969,3391.0836,4546.3936
2024-06-22,3386.7418,3386.9449,3363.4817,3378.0934,72147.0577
2024-06-23,3373.3418,3404.2837,3309.7017,3316.736,183129.4797
2024-06-24,3313.8197,3316.1429,3167.5817,3257.8452,337149.5238
2024-06-25,3262.5229,3322.6445,3240.4228,3306.1826,10280.5692
2024-06-26,3297.9018,3314.4726,3240.5844,3270.513,457884.7248
2024-06-27,3258.0726,3375.0405,3251.6655,3365.0677,2929150.6608
2024-06-28,3363.0012,3391.4857,3284.6564,3285.0435,212148.1839
2024-06-29,3290.0213,3315.4951,3290.0213,3295.8673,84866.2044
2024-06-30,3297.8077,3367.2016,3281.5545,3365.0873,79181.1622
2024-07-01,3356.8269,3432.3199,3356.7882,3371.6434,155903.637
2024-07-02,3375.3371,3389.1528,3329.861,3348.3795,50117.4188
2024-07-03,3347.9707,3353.7567,3193.3692,3228.9026,39839.158
2024-07-04,3225.5099,3233.352,3013.4478,3013.4478,2528.9934
2024-07-05,2989.1463,3037.1104,2764.7506,2932.2937,6291.2871
2024-07-06,2925.0372,3026.76,2906.4652,3011.6985,53846.9226
2024-07-07,3012.4541,3012.4678,2872.3192,2872.3211,15058.245
2024-07-08,2874.0179,3031.9486,2781.2824,2970.5373,23608.8705
2024-07-09,2964.5381,3040.0395,2960.075,3019.2852,319791.7977
2024-07-10,3016.5573,3083.8106,2983.4311,3042.7531,275814.7715
2024-07-11,3042.8328,3143.0353,3007.6978,3049.8049,121317.5711
2024-07-12,3050.5276,3101.9727,3002.9062,3077.3181,850.0643
2024-07-13,3085.3523,3138.8692,3066.9463,3138.8692,4831.7962
2024-07-14,3126.2038,3213.4615,3121.0829,3213.4615,70059.9804
2024-07-15,3201.6929,3439.5739,3184.5664,3439.5739,37574.3601
2024-07-16,3436.0982,3436.1124,3310.2508,3396.9596,0.0
2024-07-17,3395.2142,3459.3287,3340.2126,3343.0846,6550.2366
2024-07-18,3337.7277,3439.1989,3337.7277,3380.5361,10248.1508
2024-07-19,3376.7608,3473.8094,3337.3465,3458.4651,2424.3828
2024-07-20,3454.9072,3485.8489,3433.4192,3461.4414,15622.1751
2024-07-21,3471.609,3484.3663,3374.7203,3481.1112,19854.5937
2024-07-22,3482.5957,3499.5413,3386.4541,3386.4732,39352.6756
2024-07-23,3396.0942,3477.6803,3364.6618,3440.7794,12733.2678
2024-07-24,3436.3155,3436.3377,3276.5587,3285.1069,33860.9593
2024-07-25,3293.6577,3293.6727,3051.6158,3122.7352,29726.9886
2024-07-26,3128.8996,3238.0803,3128.8996,3238.0803,5183.0083
2024-07-27,3235.0515,3284.8912,3178.8544,3219.5082,41534.5142
2024-07-28,3215.2608,3236.6011,3173.057,3233.9078,3756.2911
2024-07-29,3233.5813,3347.4467,3228.0226,3292.3167,16647.1315
2024-07-30,3279.6082,3315.6253,3202.4956,3239.6339,20792.5249
2024-07-31,3241.402,3297.0108,3178.0696,3190.6726,4296.3961
2024-08-01,3196.0351,3196.0597,3054.5889,3177.114,0.0
2024-08-02,3170.3096,3170.3255,2943.6642,2958.6881,70.3405
2024-08-03,2950.582,2977.5315,2832.4539,2877.7366,0.0
2024-08-04,2874.0934,2888.6722,2654.5016,2661.2457,28982.4956
2024-08-05,2650.6593,2655.465,2146.7391,2399.0449,744.0654
2024-08-06,2388.3266,2515.7341,2388.3266,2415.9181,6342.719
2024-08-07,2422.7049,2509.798,2283.2352,2309.7849,20155.2135
2024-08-08,2305.7545,2673.4694,2294.3998,2645.0745,41709.2661
2024-08-09,2646.7922,2660.6316,2533.5137,2553.5165,0.027
2024-08-10,2566.344,2608.3406,2554.9397,2578.4211,85.1267
2024-08-11,2579.0147,2673.0625,2515.1298,2528.8702,8614.1227
2024-08-12,2527.4054,2715.9987,2494.4421,2700.6198,734.9084
2024-08-13,2695.6604,2704.7523,2598.7782,2598.7782,0.0
