time,tvl
2023-12-19 00:00:00,2574675.77524
2023-12-20 00:00:00,2973179.82068
2023-12-21 00:00:00,3216457.59326
2023-12-22 00:00:00,3560285.88311
2023-12-23 00:00:00,3809761.2009
2023-12-24 00:00:00,3966386.81914
2023-12-25 00:00:00,4711421.77583
2023-12-26 00:00:00,7012238.71299
2023-12-27 00:00:00,7446262.9313
2023-12-28 00:00:00,8331725.39306
2023-12-29 00:00:00,9812360.32194
2023-12-30 00:00:00,9801613.42052
2023-12-31 00:00:00,9881856.44561
2024-01-01 00:00:00,9871741.39324
2024-01-02 00:00:00,10544755.71324
2024-01-03 00:00:00,12298361.47423
2024-01-04 00:00:00,11686075.9554
2024-01-05 00:00:00,15275418.37589
2024-01-06 00:00:00,17729928.7051
2024-01-07 00:00:00,18723364.12518
2024-01-08 00:00:00,19098606.80243
2024-01-09 00:00:00,22373685.42192
2024-01-10 00:00:00,24157310.89804
2024-01-11 00:00:00,28303341.72193
2024-01-12 00:00:00,30979107.92269
2024-01-13 00:00:00,31816469.30134
2024-01-14 00:00:00,33244601.90748
2024-01-15 00:00:00,34270919.04972
2024-01-16 00:00:00,37154380.93854
2024-01-17 00:00:00,77303431.43717
2024-01-18 00:00:00,85507432.18771
2024-01-19 00:00:00,96073686.54454
2024-01-20 00:00:00,101432719.01702
2024-01-21 00:00:00,103962302.74915
2024-01-22 00:00:00,125400400.3955
2024-01-23 00:00:00,120220477.69415
2024-01-24 00:00:00,118414589.67607
2024-01-25 00:00:00,121487881.29161
2024-01-26 00:00:00,123948564.57204
2024-01-27 00:00:00,135913677.63516
2024-01-28 00:00:00,139179430.16176
2024-01-29 00:00:00,145180043.12597
2024-01-30 00:00:00,153892886.81559
2024-01-31 00:00:00,159947285.32193
2024-02-01 00:00:00,164432157.11849
2024-02-02 00:00:00,169861038.39098
2024-02-03 00:00:00,176257084.57708
2024-02-04 00:00:00,178726989.94224
2024-02-05 00:00:00,184764116.14111
2024-02-06 00:00:00,201841088.48586
2024-02-07 00:00:00,220020001.36083
2024-02-08 00:00:00,241584736.14475
2024-02-09 00:00:00,249831681.98039
2024-02-10 00:00:00,260633548.26076
2024-02-11 00:00:00,263543812.0763
2024-02-12 00:00:00,268479397.42772
2024-02-13 00:00:00,291541925.65199
2024-02-14 00:00:00,294995637.4642
2024-02-15 00:00:00,319481154.82971
2024-02-16 00:00:00,324175953.02644
2024-02-17 00:00:00,323406544.4302
2024-02-18 00:00:00,322481859.05522
2024-02-19 00:00:00,339053352.12309
2024-02-20 00:00:00,357524726.08852
2024-02-21 00:00:00,370724629.55245
2024-02-22 00:00:00,367168117.9172
2024-02-23 00:00:00,392172801.88806
2024-02-24 00:00:00,419321966.05028
2024-02-25 00:00:00,452939081.48255
2024-02-26 00:00:00,498662185.0768
2024-02-27 00:00:00,557775588.61273
2024-02-28 00:00:00,614247704.23595
2024-02-29 00:00:00,652700321.50433
2024-03-01 00:00:00,661631514.04083
2024-03-02 00:00:00,699505695.14731
2024-03-03 00:00:00,713487736.36702
2024-03-04 00:00:00,737479120.02244
2024-03-05 00:00:00,782551869.54485
2024-03-06 00:00:00,774646773.17516
2024-03-07 00:00:00,860234509.48176
2024-03-08 00:00:00,869451593.39673
2024-03-09 00:00:00,897452647.19981
2024-03-10 00:00:00,914693932.47136
2024-03-11 00:00:00,914643884.73266
2024-03-12 00:00:00,968067175.50228
2024-03-13 00:00:00,957694672.4839
2024-03-14 00:00:00,983100919.05921
2024-03-15 00:00:00,1015744920.3246
2024-03-16 00:00:00,1000272696.50976
2024-03-17 00:00:00,960982604.37349
2024-03-18 00:00:00,1014161478.00709
2024-03-19 00:00:00,1040891903.50083
2024-03-20 00:00:00,1013293591.0457
2024-03-21 00:00:00,1210623371.22141
2024-03-22 00:00:00,1285821364.23026
2024-03-23 00:00:00,1277305900.45422
2024-03-24 00:00:00,1345778797.49764
2024-03-25 00:00:00,1426293866.07962
2024-03-26 00:00:00,1556715850.22202
2024-03-27 00:00:00,1721005887.73677
2024-03-28 00:00:00,1799298827.13639
2024-03-29 00:00:00,1898977538.40359
2024-03-30 00:00:00,1951524614.53311
2024-03-31 00:00:00,2082898533.07676
2024-04-01 00:00:00,2248689056.34906
2024-04-02 00:00:00,2234774106.71756
2024-04-03 00:00:00,2202151026.39008
2024-04-04 00:00:00,2322515595.6709
2024-04-05 00:00:00,2387886311.2585
2024-04-06 00:00:00,2461067230.23158
2024-04-07 00:00:00,2521002673.2726
2024-04-08 00:00:00,2651882815.73655
2024-04-09 00:00:00,3001217640.57477
2024-04-10 00:00:00,2960539724.95086
2024-04-11 00:00:00,3053365987.80636
2024-04-12 00:00:00,3149509833.03549
2024-04-13 00:00:00,2949420942.3004
2024-04-14 00:00:00,2666003007.68774
2024-04-15 00:00:00,2933980258.07707
2024-04-16 00:00:00,2969972216.81486
2024-04-17 00:00:00,3015964217.86445
2024-04-18 00:00:00,2976018659.5205
2024-04-19 00:00:00,3084541613.13166
2024-04-20 00:00:00,3130859906.12804
2024-04-21 00:00:00,3220991337.35789
2024-04-22 00:00:00,3245718537.56291
2024-04-23 00:00:00,3325599952.55017
2024-04-24 00:00:00,3373798770.08357
2024-04-25 00:00:00,3155839146.0509
2024-04-26 00:00:00,3249132612.26678
2024-04-27 00:00:00,3238941110.98619
2024-04-28 00:00:00,3334054415.76075
2024-04-29 00:00:00,3429486904.17066
2024-04-30 00:00:00,3306710558.29421
2024-05-01 00:00:00,3090091101.61968
2024-05-02 00:00:00,3046195747.47461
2024-05-03 00:00:00,3098581068.58
2024-05-04 00:00:00,3222714415.19239
2024-05-05 00:00:00,3216143751.51495
2024-05-06 00:00:00,3237704761.21708
2024-05-07 00:00:00,3201051087.75222
2024-05-08 00:00:00,3144652492.17965
2024-05-09 00:00:00,3068340628.47542
2024-05-10 00:00:00,3118321741.14997
2024-05-11 00:00:00,3006754543.24454
2024-05-12 00:00:00,3011710541.1899
2024-05-13 00:00:00,3024398226.49198
2024-05-14 00:00:00,3048140780.77961
2024-05-15 00:00:00,2984942829.68541
2024-05-16 00:00:00,3120053230.20127
2024-05-17 00:00:00,3026250440.06704
2024-05-18 00:00:00,3193792575.2637
2024-05-19 00:00:00,3221919202.50345
2024-05-20 00:00:00,3193140102.51491
2024-05-21 00:00:00,3776708696.63902
2024-05-22 00:00:00,3902928899.33374
2024-05-23 00:00:00,3887708699.03356
2024-05-24 00:00:00,3937773702.38384
2024-05-25 00:00:00,3862621991.80615
2024-05-26 00:00:00,3868528688.1089
2024-05-27 00:00:00,3989599626.47721
2024-05-28 00:00:00,4052611232.62181
2024-05-29 00:00:00,4004395511.86001
2024-05-30 00:00:00,3933128475.56075
2024-05-31 00:00:00,3900265363.62085
2024-06-01 00:00:00,3932396815.14624
2024-06-02 00:00:00,3947189452.82671
2024-06-03 00:00:00,3933138338.79872
2024-06-04 00:00:00,3926026830.3907
2024-06-05 00:00:00,3965489063.75414
2024-06-06 00:00:00,4007098396.56545
2024-06-07 00:00:00,3969058020.73301
2024-06-08 00:00:00,3848040857.96669
2024-06-09 00:00:00,3846388513.19746
2024-06-10 00:00:00,3904308090.11063
2024-06-11 00:00:00,3867474133.83068
2024-06-12 00:00:00,3678955877.39386
2024-06-13 00:00:00,3744789695.79613
2024-06-14 00:00:00,3649860719.04324
2024-06-15 00:00:00,3647976208.60708
2024-06-16 00:00:00,3753096455.33046
2024-06-17 00:00:00,3778431367.45789
2024-06-18 00:00:00,3721495956.74913
2024-06-19 00:00:00,3679932356.35784
2024-06-20 00:00:00,3744184396.18546
2024-06-21 00:00:00,3723309761.72954
2024-06-22 00:00:00,3707530208.96347
2024-06-23 00:00:00,3661592395.56192
2024-06-24 00:00:00,3535901212.55292
2024-06-25 00:00:00,3317173184.54789
2024-06-26 00:00:00,3311218875.10367
2024-06-27 00:00:00,3205092533.2981
2024-06-28 00:00:00,3176602122.47161
2024-06-29 00:00:00,3034282988.64322
2024-06-30 00:00:00,2979176077.90961
2024-07-01 00:00:00,2964348087.5392
2024-07-02 00:00:00,2921254784.54302
2024-07-03 00:00:00,2781502742.39887
2024-07-04 00:00:00,2569972436.33592
2024-07-05 00:00:00,2410842947.29479
2024-07-06 00:00:00,2268581972.86899
2024-07-07 00:00:00,2322561700.59186
2024-07-08 00:00:00,2236402758.14567
2024-07-09 00:00:00,2275073073.63897
2024-07-10 00:00:00,2205836505.8211
2024-07-11 00:00:00,2218455585.54918
2024-07-12 00:00:00,2168785541.34124
2024-07-13 00:00:00,2087472806.84887
2024-07-14 00:00:00,2069765530.46601
2024-07-15 00:00:00,2169293267.01659
2024-07-16 00:00:00,2143803296.52308
2024-07-17 00:00:00,2110648760.5557
2024-07-18 00:00:00,2085708835.14685
2024-07-19 00:00:00,2075044548.96879
