time,tvl
2024-11-18 00:00:00,78129550.61763
2024-11-19 00:00:00,79334625.96441
2024-11-20 00:00:00,77828830.90498
2024-11-21 00:00:00,77533518.79781
2024-11-22 00:00:00,85440467.13756
2024-11-23 00:00:00,83974879.2627
2024-11-24 00:00:00,86409936.19839
2024-11-25 00:00:00,84895549.42062
2024-11-26 00:00:00,94300571.62815
2024-11-27 00:00:00,93643895.48151
2024-11-28 00:00:00,102516963.51888
2024-11-29 00:00:00,96891949.81405
2024-11-30 00:00:00,96917055.87071
2024-12-01 00:00:00,99636026.85732
2024-12-02 00:00:00,99854247.48032
2024-12-03 00:00:00,96951372.84174
2024-12-04 00:00:00,96983438.93072
2024-12-05 00:00:00,102797098.09108
2024-12-06 00:00:00,101524850.00727
2024-12-07 00:00:00,107532441.28765
2024-12-08 00:00:00,107398076.78585
2024-12-09 00:00:00,106692507.71972
2024-12-10 00:00:00,98924219.66969
2024-12-11 00:00:00,94933547.18961
2024-12-12 00:00:00,99692426.77438
2024-12-13 00:00:00,100982102.8254
2024-12-14 00:00:00,101183911.20758
2024-12-15 00:00:00,100169728.55443
2024-12-16 00:00:00,101975331.30314
2024-12-17 00:00:00,104717076.37555
2024-12-18 00:00:00,101315941.89499
2024-12-19 00:00:00,95937208.91171
2024-12-20 00:00:00,89798152.51142
2024-12-21 00:00:00,90819683.59364
2024-12-22 00:00:00,88020204.5348
2024-12-23 00:00:00,121675262.01787
2024-12-24 00:00:00,130242309.15427
2024-12-25 00:00:00,132010786.72365
2024-12-26 00:00:00,131789006.00194
2024-12-27 00:00:00,129531127.53471
2024-12-28 00:00:00,131373902.27781
2024-12-29 00:00:00,134610697.40442
2024-12-30 00:00:00,123920956.1272
2024-12-31 00:00:00,124430890.05029
2025-01-01 00:00:00,123468764.18083
2025-01-02 00:00:00,124205254.86124
2025-01-03 00:00:00,127965779.7728
2025-01-04 00:00:00,115759105.51415
2025-01-05 00:00:00,116596312.82751
2025-01-06 00:00:00,115422254.1117
2025-01-07 00:00:00,119588923.1001
2025-01-08 00:00:00,110608061.8777
2025-01-09 00:00:00,108486074.52273
2025-01-10 00:00:00,105697304.81885
2025-01-11 00:00:00,106908142.05429
2025-01-12 00:00:00,107597242.96376
2025-01-13 00:00:00,105838965.63655
2025-01-14 00:00:00,103166792.21395
2025-01-15 00:00:00,104988204.01994
2025-01-16 00:00:00,111436040.53345
2025-01-17 00:00:00,107683346.46436
2025-01-18 00:00:00,113972638.42013
2025-01-19 00:00:00,107187071.63191
2025-01-20 00:00:00,105587115.1595
2025-01-21 00:00:00,106896534.265
2025-01-22 00:00:00,108553450.53707
2025-01-23 00:00:00,106290609.8591
2025-01-24 00:00:00,107348019.18698
2025-01-25 00:00:00,108684570.50698
2025-01-26 00:00:00,108440078.16579
2025-01-27 00:00:00,107457344.50516
2025-01-28 00:00:00,102538688.32398
2025-01-29 00:00:00,101568316.80374
2025-01-30 00:00:00,103289147.84475
2025-01-31 00:00:00,106432664.11101
2025-02-01 00:00:00,106553374.57795
2025-02-02 00:00:00,100488950.45625
2025-02-03 00:00:00,92417830.9695
2025-02-04 00:00:00,71866179.63061
2025-02-05 00:00:00,68137017.07892
2025-02-06 00:00:00,69199738.72957
2025-02-07 00:00:00,66326984.88111
2025-02-08 00:00:00,62592816.01113
2025-02-09 00:00:00,61837474.56384
2025-02-10 00:00:00,62556433.83689
2025-02-11 00:00:00,63513448.33351
2025-02-12 00:00:00,62885382.14551
2025-02-13 00:00:00,65461721.31969
2025-02-14 00:00:00,64013587.91394
2025-02-15 00:00:00,68998488.892
2025-02-16 00:00:00,67340468.71406
2025-02-17 00:00:00,67335472.83778
2025-02-18 00:00:00,64606497.08878
2025-02-19 00:00:00,64085133.54851
2025-02-20 00:00:00,63694255.85989
2025-02-21 00:00:00,63152003.67471
2025-02-22 00:00:00,60741397.03057
2025-02-23 00:00:00,62840367.6666
2025-02-24 00:00:00,63480949.99275
2025-02-25 00:00:00,56863430.76577
2025-02-26 00:00:00,56699593.00764
2025-02-27 00:00:00,40233702.98845
2025-02-28 00:00:00,38912531.76404
2025-03-01 00:00:00,36904973.9147
2025-03-02 00:00:00,36733738.7325
2025-03-03 00:00:00,41705365.54608
2025-03-04 00:00:00,37184656.46209
2025-03-05 00:00:00,38196166.5522
2025-03-06 00:00:00,39449710.00074
2025-03-07 00:00:00,38056268.09525
2025-03-08 00:00:00,36948051.30257
2025-03-09 00:00:00,38314166.77875
2025-03-10 00:00:00,35892269.3132
2025-03-11 00:00:00,32275119.69091
2025-03-12 00:00:00,32050577.88397
2025-03-13 00:00:00,32492144.57031
2025-03-14 00:00:00,31484890.89499
2025-03-15 00:00:00,32609731.2322
2025-03-16 00:00:00,33261183.67378
2025-03-17 00:00:00,32498105.95498
2025-03-18 00:00:00,32904563.46852
2025-03-19 00:00:00,33138173.77069
2025-03-20 00:00:00,34518590.3023
2025-03-21 00:00:00,33497097.41509
2025-03-22 00:00:00,33277770.36903
2025-03-23 00:00:00,34457804.71216
2025-03-24 00:00:00,34182044.88304
2025-03-25 00:00:00,35267749.99802
2025-03-26 00:00:00,34986608.53484
2025-03-27 00:00:00,34175248.31839
2025-03-28 00:00:00,34075963.96047
2025-03-29 00:00:00,32267683.81848
2025-03-30 00:00:00,31478183.04805
2025-03-31 00:00:00,29905672.83574
2025-04-01 00:00:00,29607934.979
2025-04-02 00:00:00,30402858.53898
2025-04-03 00:00:00,28679317.4185
2025-04-04 00:00:00,20383914.78601
2025-04-05 00:00:00,19974409.18978
2025-04-06 00:00:00,19954421.66454
2025-04-07 00:00:00,17125968.86755
2025-04-08 00:00:00,16991879.49162
2025-04-09 00:00:00,13118657.60886
2025-04-10 00:00:00,13781260.05484
2025-04-11 00:00:00,13207811.86392
